,vol,issue,index,type,title,num_citations
106,73,6,11,Research article,The X-Linked Intellectual Disability Protein TSPAN7 Regulates Excitatory Synapse Development and AMPAR Trafficking,81
107,73,6,12,Research article,Thin Dendrites of Cerebellar Interneurons Confer Sublinear Synaptic Integration and a Gradient of Short-Term Plasticity,82
108,73,6,13,Research article,GABA Neurons of the VTA Drive Conditioned Place Aversion,476
109,73,6,14,Research article,Activation of VTA GABA Neurons Disrupts Reward Consumption,447
110,73,6,15,Research article,Learning in the Fast Lane: New Insights into Neuroplasticity,399
111,73,6,16,Research article,A Network Diffusion Model of Disease Progression in Dementia,471
112,73,6,17,Research article,Predicting Regional Neurodegeneration from the Healthy Brain Functional Connectome,507
113,73,6,18,Research article,Human Areas V3A and V6 Compensate for Self-Induced Planar Visual Motion,63
118,74,1,4,Review article,Toward a Unified Theory of Visual Area V4,261
119,74,1,5,Review article,"Not Noisy, Just Wrong: The Role of Suboptimal Inference in Behavioral Variability",291
123,74,1,9,Research article,Intralineage Directional Notch Signaling Regulates Self-Renewal and Differentiation of Asymmetrically Dividing Radial Glia,128
124,74,1,10,Research article,Sox9 and NFIA Coordinate a Transcriptional Regulatory Cascade during the Initiation of Gliogenesis,213
125,74,1,11,Research article,Intra-axonal Translation of SMAD1/5/8 Mediates Retrograde Regulation of Trigeminal Ganglia Subtype Specification,73
126,74,1,12,Research article,14-3-3ε Couples Protein Kinase A to Semaphorin Signaling and Silences Plexin RasGAP-Mediated Axonal Repulsion,32
127,74,1,13,Research article,Calcium-Dependent Dephosphorylation of the Histone Chaperone DAXX Regulates H3.3 Loading and Transcription upon Neuronal Activation,73
128,74,1,14,Research article,Identification of CSPα Clients Reveals a Role in Dynamin 1 Regulation,80
129,74,1,15,Research article,Motorneurons Require Cysteine String Protein-α to Maintain the Readily Releasable Vesicular Pool and Synaptic Vesicle Recycling,65
130,74,1,16,Research article,TOR Is Required for the Retrograde Regulation of Synaptic Homeostasis at the Drosophila Neuromuscular Junction,91
131,74,1,17,Research article,Calcium-Activated Chloride Channels (CaCCs) Regulate Action Potential and Synaptic Response in Hippocampal Neurons,139
132,74,1,18,Research article,Effects of Long-Term Visual Experience on Responses of Distinct Classes of Single Units in Inferior Temporal Cortex,106
140,74,2,5,Review article,"On the Perception of Probable Things: Neural Substrates of Associative Memory, Imagery, and Perception",141
141,74,2,6,Review article,Timing to Perfection: The Biology of Central and Peripheral Circadian Clocks,605
145,74,2,10,Research article,De Novo Gene Disruptions in Children on the Autistic Spectrum,1280
146,74,2,11,Research article,Mutant PrP Suppresses Glutamatergic Neurotransmission in Cerebellar Granule Neurons by Impairing Membrane Delivery of VGCC α2δ-1 Subunit,60
147,74,2,12,Research article,Foxp-Mediated Suppression of N-Cadherin Regulates Neuroepithelial Character and Progenitor Maintenance in the CNS,144
148,74,2,13,Research article,Dynactin Is Required for Transport Initiation from the Distal Axon,173
149,74,2,14,Research article,The p150Glued CAP-Gly Domain Regulates Initiation of Retrograde Transport at Synaptic Termini,122
150,74,2,15,Research article,Clustered Dynamics of Inhibitory Synapses and Dendritic Spines in the Adult Neocortex,275
151,74,2,16,Research article,Elimination of Inhibitory Synapses Is a Major Component of Adult Ocular Dominance Plasticity,181
152,74,2,17,Research article,GABAergic Inhibition Regulates Developmental Synapse Elimination in the Cerebellum,72
153,74,2,18,Research article,Distinct Cortical Circuit Mechanisms for Complex Forelimb Movement and Motor Map Topography,126
154,74,2,19,Research article,Effects of Cue-Triggered Expectation on Cortical Processing of Taste,109
158,74,3,3,Review article,A-to-I RNA Editing: Effects on Proteins Key to Neural Excitability,133
159,74,3,4,Review article,Harnessing the Power of the Endosome to Regulate Neural Development,85
160,74,3,5,Research article,The Local Transcriptome in the Synaptic Neuropil Revealed by Deep Sequencing and High-Resolution Imaging,521
164,74,3,9,Research article,Calcium and cAMP Levels Interact to Determine Attraction versus Repulsion in Axon Guidance,55
165,74,3,10,Research article,Relevance of Exocytotic Glutamate Release from Retinal Glia,44
166,74,3,11,Research article,Maturation of a PKG-Dependent Retrograde Mechanism for Exoendocytic Coupling of Synaptic Vesicles,41
167,74,3,12,Research article,Dopamine Is Required for Learning and Forgetting in Drosophila,211
168,74,3,13,Research article,The Subtype of GluN2 C-terminal Domain Determines the Response to Excitotoxic Insults,161
169,74,3,14,Research article,Attentional Modulations Related to Spatial Gating but Not to Allocation of Limited Resources in Primate V1,30
170,74,3,15,Research article,What Makes a Cell Face Selective? The Importance of Contrast,100
171,74,3,16,Research article,Neural Mechanisms Underlying Paradoxical Performance for Monetary Incentives Are Driven by Loss Aversion,110
176,74,4,4,Review article,How We Feel: Ion Channel Partnerships that Detect Mechanical Inputs and Give Rise to Touch and Pain Perception,71
177,74,4,5,Research article,High-Resolution Proteomics Unravel Architecture and Molecular Diversity of Native AMPA Receptor Complexes,297
182,74,4,10,Research article,Forebrain GABAergic Neuron Precursors Integrate into Adult Spinal Cord and Reduce Injury-Induced Neuropathic Pain,169
183,74,4,11,Research article,Optic Chiasm Presentation of Semaphorin6D in the Context of Plexin-A1 and Nr-CAM Promotes Retinal Axon Midline Crossing,88
184,74,4,12,Research article,Microglia Sculpt Postnatal Neural Circuits in an Activity and Complement-Dependent Manner,2091
185,74,4,13,Research article,Balance of Activity between LNvs and Glutamatergic Dorsal Clock Neurons Promotes Robust Circadian Rhythms in Drosophila,71
186,74,4,14,Research article,BAD-Dependent Regulation of Fuel Metabolism and KATP Channel Activity Confers Resistance to Epileptic Seizures,123
187,74,4,15,Research article,Thalamocortical Inputs Show Post-Critical-Period Plasticity,62
188,74,4,16,Research article,Conserved fMRI and LFP Signals during New Associative Learning in the Human and Macaque Monkey Medial Temporal Lobe,22
189,74,4,17,Research article,A Cortical Core for Dynamic Integration of Functional Networks in the Resting Human Brain,329
194,74,5,4,Review article,Concepts and Methods for the Study of Axonal Regeneration in the CNS,239
198,74,5,8,Research article,Pervasive Synaptic Branch Removal in the Mammalian Neuromuscular System at Birth,98
199,74,5,9,Research article,Use-Dependent Inhibition of Synaptic Transmission by the Secretion of Intravesicularly Accumulated Antipsychotic Drugs,43
200,74,5,10,Research article,Coupled Control of Desensitization and Gating by the Ligand Binding Domain of Glutamate Receptors,35
201,74,5,11,Research article,Whole-Brain Mapping of Direct Inputs to Midbrain Dopamine Neurons,852
202,74,5,12,Research article,The Role of Prefrontal Dopamine D1 Receptors in the Neural Mechanisms of Associative Learning,116
203,74,5,13,Research article,Mg2+ Block of Drosophila NMDA Receptors Is Required for Long-Term Memory Formation and CREB-Dependent Gene Expression,99
204,74,5,14,Research article,Spontaneous High-Gamma Band Activity Reflects Functional Organization of Auditory Cortex in the Awake Macaque,74
205,74,5,15,Research article,Feedforward Origins of Response Variability Underlying Contrast Invariant Orientation Tuning in Cat Visual Cortex,56
206,74,5,16,Research article,Neuronal Discharges and Gamma Oscillations Explicitly Reflect Visual Consciousness in the Lateral Prefrontal Cortex,162
207,74,5,17,Research article,Differential Recruitment of the Sensorimotor Putamen and Frontoparietal Cortex during Motor Chunking in Humans,221
208,74,5,18,Research article,Action Selection and Action Value in Frontal-Striatal Circuits,131
213,74,6,4,Review article,"Motor Circuits in Action: Specification, Connectivity, and Function",231
214,74,6,5,Review article,Psychopathology and the Human Connectome: Toward a Transdiagnostic Model of Risk For Mental Illness,309
215,74,6,6,Research article,Optical Control of Endogenous Proteins with a Photoswitchable Conditional Subunit Reveals a Role for TREK1 in GABAB Signaling,90
218,74,6,9,Research article,Sustained Therapeutic Reversal of Huntington's Disease by Transient Repression of Huntingtin Synthesis,578
219,74,6,10,Research article,Dynamic FoxG1 Expression Coordinates the Integration of Multipolar Pyramidal Neuron Precursors into the Cortical Plate,105
220,74,6,11,Research article,Cell-Type-Specific Recruitment of Amygdala Interneurons to Hippocampal Theta Rhythm and Noxious Stimuli In Vivo,139
221,74,6,12,Research article,Dichotomous Organization of the External Globus Pallidus,303
222,74,6,13,Research article,Odor Representations in Olfactory Cortex: Distributed Rate Coding and Decorrelated Population Activity,149
223,74,6,14,Research article,Medial Axis Shape Coding in Macaque Inferotemporal Cortex,122
224,74,6,15,Research article,A Real-World Size Organization of Object Responses in Occipitotemporal Cortex,327
225,74,6,16,Research article,Learning to Simulate Others' Decisions,148
232,75,1,4,Review article,The Presynaptic Active Zone,746
233,75,1,5,Review article,Mechanisms of Age-Related Macular Degeneration,615
234,75,1,6,Research article,Network Organization of the Huntingtin Proteomic Interactome in Mammalian Brain,212
238,75,1,10,Research article,Localized Netrins Act as Positional Cues to Control Layer-Specific Targeting of Photoreceptor Axons in Drosophila,82
239,75,1,11,Research article,Distinct Roles of Muscle and Motoneuron LRP4 in Neuromuscular Junction Formation,136
240,75,1,12,Research article,SK2 Channel Modulation Contributes to Compartment-Specific Dendritic Plasticity in Cerebellar Purkinje Cells,77
241,75,1,13,Research article,Associative Fear Learning Enhances Sparse Network Coding in Primary Sensory Cortex,89
242,75,1,14,Research article,Amygdala-Prefrontal Synchronization Underlies Resistance to Extinction of Aversive Memories,78
243,75,1,15,Research article,The Role of Attention in Figure-Ground Segregation in Areas V1 and V4 of the Visual Cortex,182
244,75,1,16,Research article,Intact Memory for Irrelevant Information Impairs Perception in Amnesia,112
245,75,1,17,Research article,Hippocampal and Ventral Medial Prefrontal Activation during Retrieval-Mediated Learning Supports Novel Inference,333
251,75,2,5,Review article,Mechanisms of Neuronal Computation in Mammalian Visual Cortex,159
252,75,2,6,Review article,From Functional Architecture to Functional Connectomics,69
253,75,2,7,Review article,Traveling Waves in Visual Cortex,183
254,75,2,8,Review article,Development and Plasticity of the Primary Visual Cortex,460
255,75,2,9,Review article,Adult Visual Cortical Plasticity,183
257,75,2,11,Research article,Photochemical Restoration of Visual Responses in Blind Mice,211
258,75,2,12,Research article,Restoration of Hearing in the VGLUT3 Knockout Mouse Using Virally Mediated Gene Therapy,245
259,75,2,13,Research article,Subcellular Knockout of Importin β1 Perturbs Axonal Retrograde Signaling,154
260,75,2,14,Research article,Sonic Hedgehog Maintains Cellular and Neurochemical Homeostasis in the Adult Nigrostriatal Circuit,92
261,75,2,15,Research article,Two Distinct Channels of Olfactory Bulb Output,174
262,75,2,16,Research article,Principles Governing the Operation of Synaptic Inhibition in Dendrites,176
263,75,2,17,Research article,Coding of the Reach Vector in Parietal Area 5d,68
268,75,3,4,Review article,MicroRNAs Shape the Neuronal Landscape,246
269,75,3,5,Review article,Striatal Contributions to Declarative Memory Retrieval,156
274,75,3,10,Research article,Rapamycin Ameliorates Age-Dependent Obesity Associated with Increased mTOR Signaling in Hypothalamic POMC Neurons,145
275,75,3,11,Research article,Muscleblind-like 2-Mediated Alternative Splicing in the Developing Brain and Dysregulation in Myotonic Dystrophy,253
276,75,3,12,Research article,Target-Specific Expression of Presynaptic NMDA Receptors in Neocortical Microcircuits,114
277,75,3,13,Research article,Light-Induced Plasticity of Synaptic AMPA Receptor Composition in Retinal Ganglion Cells,27
278,75,3,14,Research article,Activity-Induced Long-Term Potentiation of Excitatory Synapses in Developing Zebrafish Retina In Vivo,29
279,75,3,15,Research article,Spike-Timing-Dependent Potentiation of Sensory Surround in the Somatosensory Cortex Is Facilitated by Deprivation-Mediated Disinhibition,61
280,75,3,16,Research article,Enhancement of Dorsal Hippocampal Activity by Knockdown of HCN1 Channels Leads to Anxiolytic- and Antidepressant-like Behaviors,105
281,75,3,17,Research article,Neuronal Correlates of Metacognition in Primate Frontal Cortex,118
282,75,3,18,Research article,Normalization Regulates Competition for Visual Awareness,38
289,75,4,4,Review article,Hans Thoenen: A Tribute,2
290,75,4,5,Review article,The Spike-Timing Dependence of Plasticity,625
293,75,4,8,Research article,Sensation in a Single Neuron Pair Represses Male Behavior in Hermaphrodites,61
294,75,4,9,Research article,Human-Specific Transcriptional Networks in the Brain,227
295,75,4,10,Research article,Tau Promotes Neurodegeneration via DRP1 Mislocalization In Vivo,251
296,75,4,11,Research article,c-Jun Reprograms Schwann Cells of Injured Nerves to Generate a Repair Cell Essential for Regeneration,486
297,75,4,12,Research article,Subcortical Visual Shell Nuclei Targeted by ipRGCs Develop from a Sox14+-GABAergic Progenitor and Require Sox14 to Regulate Daily Activity Rhythms,44
298,75,4,13,Research article,The LIM-Homeodomain Protein Islet Dictates Motor Neuron Electrical Properties by Regulating K+ Channel Expression,34
299,75,4,14,Research article,Regulation of N-type Voltage-Gated Calcium Channels and Presynaptic Function by Cyclin-Dependent Kinase 5,62
300,75,4,15,Research article,Visual Input Modulates Audiomotor Function via Hypothalamic Dopaminergic Neurons through a Cooperative Mechanism,83
301,75,4,16,Research article,Transient Slow Gamma Synchrony Underlies Hippocampal Memory Replay,171
302,75,4,17,Research article,Early Cognitive Experience Prevents Adult Deficits in a Neurodevelopmental Schizophrenia Model,95
306,75,5,3,Review article,Neural Mechanisms of Stress Resilience and Vulnerability,376
307,75,5,4,Review article,Synaptic Energy Use and Supply,817
308,75,5,5,Research article,Single Action Potentials and Subthreshold Electrical Events Imaged in Neurons with a Fluorescent Protein Voltage Probe,400
309,75,5,6,Research article,How Variable Clones Build an Invariant Retina,175
310,75,5,7,Research article,Atoh1 Governs the Migration of Postmitotic Neurons that Shape Respiratory Effectiveness at Birth and Chemoresponsiveness in Adulthood,33
311,75,5,8,Research article,"Signal-Mediated, AP-1/Clathrin-Dependent Sorting of Transmembrane Receptors to the Somatodendritic Domain of Hippocampal Neurons",89
312,75,5,9,Research article,JNK3 Perpetuates Metabolic Stress Induced by Aβ Peptides,159
313,75,5,10,Research article,The SOL-2/Neto Auxiliary Protein Modulates the Function of AMPA-Subtype Ionotropic Glutamate Receptors,43
314,75,5,11,Research article,Inhibitory Control of Linear and Supralinear Dendritic Excitation in CA1 Pyramidal Neurons,85
315,75,5,12,Research article,"Separate, Causal Roles of the Caudate in Saccadic Choice and Execution in a Perceptual Decision Task",93
316,75,5,13,Research article,Attentional Stimulus Selection through Selective Synchronization between Monkey Visual Areas,552
317,75,5,14,Research article,Rhythmic Modulation of Theta Oscillations Supports Encoding of Spatial and Behavioral Information in the Rat Hippocampus,21
318,75,5,15,Research article,Autism-Associated Promoter Variant in MET Impacts Functional and Structural Brain Networks,134
319,75,5,16,Research article,Temporal Integration of Olfactory Perceptual Evidence in Human Orbitofrontal Cortex,84
330,75,6,7,Review article,Plasticity of Inhibition,192
331,75,6,8,Review article,Neuronal Dynamics and Neuropsychiatric Disorders: Toward a Translational Paradigm for Dysfunctional Large-Scale Networks,386
333,75,6,10,Research article,Nanoscopy of Living Brain Slices with Low Light Levels,127
335,75,6,12,Research article,LRRK2 Controls an EndoA Phosphorylation Cycle in Synaptic Endocytosis,300
336,75,6,13,Research article,Excessive Activation of mTOR in Postnatally Generated Granule Cells Is Sufficient to Cause Epilepsy,206
337,75,6,14,Research article,MEK Is a Key Regulator of Gliogenesis in the Developing Brain,120
338,75,6,15,Research article,gdnf Activates Midline Repulsion by Semaphorin3B via NCAM during Commissural Axon Guidance,86
339,75,6,16,Research article,Neuronal Elav-like (Hu) Proteins Regulate RNA Splicing and Abundance to Control Glutamate Levels and Neuronal Excitability,149
340,75,6,17,Research article,Transient Sodium Current at Subthreshold Voltages: Activation by EPSP Waveforms,75
341,75,6,18,Research article,Metabolic Communication between Astrocytes and Neurons via Bicarbonate-Responsive Soluble Adenylyl Cyclase,201
342,75,6,19,Research article,Sleep Oscillations in the Thalamocortical System Induce Long-Term Neuronal Plasticity,235
343,75,6,20,Research article,An Agent Independent Axis for Executed and Modeled Choice in Medial Prefrontal Cortex,180
344,75,6,21,Research article,Interactions between Visual Attention and Episodic Retrieval: Dissociable Contributions of Parietal Regions during Gist-Based False Recognition,41
346,76,1,1,Review article,Orphan GPCRs and Neuromodulation,45
347,76,1,2,Review article,Modulating Neuromodulation by Receptor Membrane Traffic in the Endocytic Pathway,45
348,76,1,3,Review article,Dopaminergic Modulation of Synaptic Transmission in Cortex and Striatum,503
349,76,1,4,Review article,Neuromodulation by Extracellular ATP and P2X Receptors in the CNS,274
350,76,1,5,Review article,Endocannabinoid Signaling and Synaptic Function,699
351,76,1,6,Review article,Peptide Neuromodulation in Invertebrate Model Systems,196
352,76,1,7,Review article,Neuropeptide Transmission in Brain Circuits,440
353,76,1,8,Review article,Acetylcholine as a Neuromodulator: Cholinergic Signaling Shapes Nervous System Function and Behavior,668
354,76,1,9,Review article,Orienting and Reorienting: The Locus Coeruleus Mediates Cognition through Arousal,646
355,76,1,10,Review article,Neuromodulation by Oxytocin and Vasopressin,385
356,76,1,11,Review article,The Fibroblast Growth Factor Family: Neuromodulation of Affective Behavior,133
357,76,1,12,Review article,Serotonin in the Modulation of Neural Plasticity and Networks: Implications for Neurodevelopmental Disorders,294
358,76,1,13,Review article,Stress-Related Neuropeptides and Addictive Behaviors: Beyond the Usual Suspects,86
359,76,1,14,Review article,Neuromodulation of Brain States,415
360,76,1,15,Review article,Neuromodulation of Thought: Flexibilities and Vulnerabilities in Prefrontal Cortical Network Synapses,421
361,76,1,16,Review article,Twenty-Five Lessons from Computational Neuromodulation,124
365,76,2,3,Review article,The Neuronal Organization of the Retina,720
366,76,2,4,Review article,"Attention, Learning, and the Value of Information",206
367,76,2,5,Research article,Imaging Neural Activity Using Thy1-GCaMP Transgenic Mice,177
370,76,2,8,Research article,"Genetic Removal of p70 S6 Kinase 1 Corrects Molecular, Synaptic, and Behavioral Phenotypes in Fragile X Syndrome Mice",244
371,76,2,9,Research article,Slit/Robo Signaling Modulates the Proliferation of Central Nervous System Progenitors,104
372,76,2,10,Research article,Reelin Controls Neuronal Positioning by Promoting Cell-Matrix Adhesion via Inside-Out Activation of Integrin α5β1,138
373,76,2,11,Research article,Calcium Feedback to cGMP Synthesis Strongly Attenuates Single-Photon Responses Driven by Long Rhodopsin Lifetimes,51
374,76,2,12,Research article,Drosophila CPEB Orb2A Mediates Memory Independent of Its RNA-Binding Domain,75
375,76,2,13,Research article,Transsynaptic Signaling by Activity-Dependent Cleavage of Neuroligin-1,193
376,76,2,14,Research article,Activity-Dependent Proteolytic Cleavage of Neuroligin-1,164
377,76,2,15,Research article,Slow Cortical Dynamics and the Accumulation of Information over Long Timescales,304
378,76,2,16,Research article,Discrete Neocortical Dynamics Predict Behavioral Categorization of Sounds,168
379,76,2,17,Research article,Opposing Mechanisms Support the Voluntary Forgetting of Unwanted Memories,236
385,76,3,3,Review article,The Mysterious Motivational Functions of Mesolimbic Dopamine,1055
386,76,3,4,Review article,"Musical Training as a Framework for Brain Plasticity: Behavior, Function, and Structure",592
391,76,3,9,Research article,Regulation of DLK-1 Kinase Activity by Calcium-Mediated Dissociation from an Inhibitory Isoform,86
392,76,3,10,Research article,Presynaptically Released Cbln1 Induces Dynamic Axonal Structural Changes by Interacting with GluD2 during Cerebellar Synapse Formation,53
393,76,3,11,Research article,Zinc Potentiates GluK3 Glutamate Receptor Function by Stabilizing the Ligand Binding Domain Dimer Interface,41
394,76,3,12,Research article,A Preferentially Segregated Recycling Vesicle Pool of Limited Size Supports Neurotransmission in Native Central Synapses,85
395,76,3,13,Research article,Correlated Variability in Laminar Cortical Circuits,134
396,76,3,14,Research article,Sensitivity to Complex Statistical Regularities in Rat Auditory Cortex,130
397,76,3,15,Research article,Neural Mechanisms of Speed-Accuracy Tradeoff,269
398,76,3,16,Research article,High-Resolution fMRI Reveals Laminar Differences in Neurovascular Coupling between Positive and Negative BOLD Responses,226
399,76,3,17,Research article,Reading with Sounds: Sensory Substitution Selectively Activates the Visual Word Form Area in the Blind,238
400,76,3,18,Research article,The Emergence and Representation of Knowledge about Social and Nonsocial Hierarchies,131
407,76,4,3,Review article,"The Future of Memory: Remembering, Imagining, and the Brain",1033
408,76,4,4,Review article,Canonical Microcircuits for Predictive Coding,1356
